genome_name	ncbi_acc
PRJEB21624_0434	GCA_900322055.1
PRJEB21624_0435	GCA_900315845.1
PRJEB21624_0436	GCA_900316365.1
PRJEB21624_0437	GCA_900317165.1
PRJEB21624_0438	GCA_900319505.1
PRJEB21624_0439	GCA_900318365.1
PRJEB21624_0440	GCA_900317295.1
PRJEB21624_0441	GCA_900317725.1
PRJEB21624_0442	GCA_900321485.1
PRJEB21624_0443	GCA_900319965.1
PRJEB21624_0444	GCA_900321375.1
PRJEB21624_0445	GCA_900320455.1
PRJEB21624_0446	GCA_900320745.1
PRJEB21624_0447	GCA_900321535.1
PRJEB21624_0448	GCA_900317015.1
PRJEB21624_0449	GCA_900315885.1
PRJEB21624_0450	GCA_900314585.1
PRJEB21624_0451	GCA_900314405.1
PRJEB21624_0452	GCA_900314965.1
PRJEB21624_0453	GCA_900315005.1
PRJEB21624_0454	GCA_900315025.1
PRJEB21624_0455	GCA_900315065.1
PRJEB21624_0456	GCA_900314865.1
PRJEB21624_0457	GCA_900314895.1
PRJEB21624_0458	GCA_900314905.1
PRJEB21624_0459	GCA_900315225.1
PRJEB21624_0460	GCA_900314075.1
PRJEB21624_0461	GCA_900314175.1
PRJEB21624_0462	GCA_900314345.1
PRJEB21624_0463	GCA_900313495.1
PRJEB21624_0464	GCA_900316325.1
PRJEB21624_0465	GCA_900321215.1
PRJEB21624_0466	GCA_900316825.1
PRJEB21624_0467	GCA_900321385.1
PRJEB21624_0468	GCA_900316465.1
PRJEB21624_0469	GCA_900318925.1
PRJEB21624_0470	GCA_900313675.1
PRJEB21624_0471	GCA_900313725.1
PRJEB21624_0472	GCA_900313575.1
PRJEB21624_0473	GCA_900317575.1
PRJEB21624_0474	GCA_900318075.1
PRJEB21624_0475	GCA_900318225.1
PRJEB21624_0476	GCA_900318975.1
PRJEB21624_0477	GCA_900321955.1
PRJEB21624_0478	GCA_900319675.1
PRJEB21624_0479	GCA_900317975.1
PRJEB21624_0480	GCA_900315735.1
PRJEB21624_0481	GCA_900315945.1
PRJEB21624_0482	GCA_900316805.1
PRJEB21624_0483	GCA_900316625.1
PRJEB21624_0484	GCA_900317145.1
PRJEB21624_0485	GCA_900317335.1
PRJEB21624_0486	GCA_900316855.1
PRJEB21624_0487	GCA_900316165.1
PRJEB21624_0488	GCA_900316395.1
PRJEB21624_0489	GCA_900316665.1
PRJEB21624_0490	GCA_900316075.1
PRJEB21624_0491	GCA_900320025.1
PRJEB21624_0492	GCA_900319245.1
PRJEB21624_0493	GCA_900318875.1
PRJEB21624_0494	GCA_900318385.1
PRJEB21624_0495	GCA_900317995.1
PRJEB21624_0496	GCA_900321785.1
PRJEB21624_0497	GCA_900321615.1
PRJEB21624_0498	GCA_900321405.1
PRJEB21624_0499	GCA_900321345.1
PRJEB21624_0500	GCA_900321155.1
PRJEB21624_0501	GCA_900320825.1
PRJEB21624_0502	GCA_900320635.1
PRJEB21624_0503	GCA_900320695.1
PRJEB21624_0504	GCA_900320485.1
PRJEB21624_0505	GCA_900320475.1
PRJEB21624_0506	GCA_900320335.1
PRJEB21624_0507	GCA_900320345.1
PRJEB21624_0508	GCA_900320325.1
PRJEB21624_0509	GCA_900320205.1
PRJEB21624_0510	GCA_900320075.1
PRJEB21624_0511	GCA_900317555.1
PRJEB21624_0512	GCA_900317755.1
PRJEB21624_0513	GCA_900317825.1
PRJEB21624_0514	GCA_900319585.1
PRJEB21624_0515	GCA_900317915.1
PRJEB21624_0516	GCA_900317615.1
PRJEB21624_0517	GCA_900317275.1
PRJEB21624_0518	GCA_900317355.1
PRJEB21624_0519	GCA_900317475.1
PRJEB21624_0520	GCA_900317585.1
PRJEB21624_0521	GCA_900317505.1
PRJEB21624_0522	GCA_900313565.1
PRJEB21624_0523	GCA_900313435.1
PRJEB21624_0524	GCA_900313525.1
PRJEB21624_0525	GCA_900313745.1
PRJEB21624_0526	GCA_900313315.1
PRJEB21624_0527	GCA_900313265.1
PRJEB21624_0528	GCA_900313095.1
PRJEB21624_0529	GCA_900313635.1
PRJEB21624_0530	GCA_900313995.1
PRJEB21624_0531	GCA_900313965.1
PRJEB21624_0532	GCA_900313975.1
PRJEB21624_0533	GCA_900313955.1
